,Territorio,Indicatori,Tipologia di esercizio,Paese di residenza dei clienti,TIME,Value
0,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-01,227375.0
1,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-02,291452.0
2,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-03,261379.0
3,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-04,302011.0
4,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-05,350073.0
5,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-06,315119.0
6,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-07,372813.0
7,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-08,327356.0
8,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-09,355459.0
9,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-10,326323.0
10,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-11,233318.0
11,Piemonte,arrivi ,esercizi alberghieri,Mondo,2016-12,243885.0
12,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-01,242825.0
13,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-02,287858.0
14,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-03,286285.0
15,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-04,340470.0
16,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-05,353541.0
17,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-06,359872.0
18,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-07,407296.0
19,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-08,359400.0
20,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-09,377680.0
21,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-10,336209.0
22,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-11,244891.0
23,Piemonte,arrivi ,esercizi alberghieri,Mondo,2017-12,252202.0
24,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-01,244871.0
25,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-02,289158.0
26,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-03,325614.0
27,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-04,326459.0
28,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-05,353476.0
29,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-06,353100.0
30,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-07,387368.0
31,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-08,375494.0
32,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-09,383899.0
33,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-10,321806.0
34,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-11,267911.0
35,Piemonte,arrivi ,esercizi alberghieri,Mondo,2018-12,262342.0
36,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-01,226155.0
37,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-02,270750.0
38,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-03,299935.0
39,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-04,336509.0
40,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-05,338242.0
41,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-06,352898.0
42,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-07,387324.0
43,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-08,367957.0
44,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-09,376290.0
45,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-10,341638.0
46,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-11,273479.0
47,Piemonte,arrivi ,esercizi alberghieri,Mondo,2019-12,259451.0
48,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-01,240261.0
49,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-02,230539.0
50,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-03,33116.0
51,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-04,3248.0
52,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-05,22547.0
53,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-06,90354.0
54,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-07,196862.0
55,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-08,241226.0
56,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-09,209918.0
57,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-10,159887.0
58,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-11,47488.0
59,Piemonte,arrivi ,esercizi alberghieri,Mondo,2020-12,54760.0
60,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-01,64912.0
61,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-02,98939.0
62,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-03,69287.0
63,Piemonte,arrivi ,esercizi alberghieri,Mondo,2021-04,73724.0
